class_id;species_name;genus;family
158793;Ocotea oblonga (Meisn.) Mez;Ocotea;Lauraceae
158833;Ocotea puberula (Rich.) Nees;Ocotea;Lauraceae
159434;Couratari guianensis Aubl.;Couratari;Lecythidaceae
159516;Eschweilera parviflora (Aubl.) Miers;Eschweilera;Lecythidaceae
159518;Eschweilera pedicellata (Rich.) S.A.Mori;Eschweilera;Lecythidaceae
160570;Acacia mangium Willd.;Acacia;Fabaceae
166822;Caesalpinia pulcherrima (L.) Sw.;Caesalpinia;Fabaceae
166869;Cajanus cajan (L.) Millsp.;Cajanus;Fabaceae
169293;Crotalaria retusa L.;Crotalaria;Fabaceae
171727;Erythrina fusca Lour.;Erythrina;Fabaceae
173914;Inga alba (Sw.) Willd.;Inga;Fabaceae
173972;Inga capitata Desv.;Inga;Fabaceae
174017;Inga edulis Mart.;Inga;Fabaceae
177730;Mimosa pigra L.;Mimosa;Fabaceae
177775;Mimosa pudica L.;Mimosa;Fabaceae
189669;Punica granatum L.;Punica;Lythraceae
191642;Adansonia digitata L.;Adansonia;Malvaceae
19165;Allamanda cathartica L.;Allamanda;Apocynaceae
192311;Ceiba pentandra (L.) Gaertn.;Ceiba;Malvaceae
194035;Hibiscus rosa-sinensis L.;Hibiscus;Malvaceae
19489;Asclepias curassavica L.;Asclepias;Apocynaceae
209328;Psidium guineense Sw.;Psidium;Myrtaceae
211059;Nephrolepis biserrata (Sw.) Schott;Nephrolepis;Nephrolepidaceae
244705;Averrhoa carambola L.;Averrhoa;Oxalidaceae
248392;Turnera ulmifolia L.;Turnera;Turneraceae
254180;Piper peltatum L.;Piper;Piperaceae
275029;Eichhornia crassipes (Mart.) Solms;Pontederia;Pontederiaceae
280085;Ceratopteris thalictroides (L.) Brongn.;Ceratopteris;Pteridaceae
280698;Pityrogramma calomelanos (L.) Link;Pityrogramma;Pteridaceae
285398;Cassipourea guianensis Aubl.;Cassipourea;Rhizophoraceae
29686;Oreopanax capitatus (Jacq.) Decne. & Planch.;Oreopanax;Araliaceae
